Date,Security Name,Transaction Type,Shares,Transaction Price,Amount
10/04/16,BlackRock Liquidity T-Fund Mgmt,Sale,"-452,445.160",$1.00,"$452,445.16"
10/05/16,BlackRock Liquidity T-Fund Mgmt,Purchase,764.340,$1.00,-$764.34
10/07/16,iShares iBoxx High Yield Corporate Bd,Dividend,,,$209.07
10/07/16,iShares Barclays Intermediate Crdt Bd,Dividend,,,$807.35
10/07/16,iShares Barclays 10-20 Year Treas Bd,Dividend,,,$25.21
10/10/16,Cash,Advisory Fee,,,-$550.32
10/11/16,BlackRock Liquidity T-Fund Mgmt,Purchase,491.310,$1.00,-$491.31
10/31/16,Blackrock High Yield Bond Portfolio A,Dividend,,,$24.85
10/31/16,BlackRock Liquidity T-Fund Mgmt,Dividend,,,$0.51
11/02/16,BlackRock Liquidity T-Fund Mgmt,Purchase,25.360,$1.00,-$25.36
11/07/16,iShares iBoxx High Yield Corporate Bd,Dividend,,,$209.11
11/07/16,iShares Barclays Intermediate Crdt Bd,Dividend,,,$801.95
11/07/16,iShares Barclays 10-20 Year Treas Bd,Dividend,,,$25.69
11/08/16,BlackRock Liquidity T-Fund Mgmt,Purchase,"1,036.750",$1.00,"-$1,036.75"
11/30/16,BlackRock Liquidity T-Fund Mgmt,Dividend,,,$0.14
12/02/16,BlackRock Liquidity T-Fund Mgmt,Purchase,0.140,$1.00,-$0.14
Date,Security Name,Transaction Type,Shares,Transaction Price,Amount
12/07/16,iShares iBoxx High Yield Corporate Bd,Dividend,,,$206.33
12/07/16,iShares Barclays Intermediate Crdt Bd,Dividend,,,$809.62
12/07/16,iShares Barclays 10-20 Year Treas Bd,Dividend,,,$25.04
12/08/16,BlackRock Liquidity T-Fund Mgmt,Purchase,"1,040.990",$1.00,"-$1,040.99"
12/15/16,BlackRock Liquidity T-Fund Mgmt,LT Cap Gains Reinvestment,0.090,$1.00,$0.09
12/22/16,iShares Barclays 7-10 Year Treasury,Purchase,330.000,$103.86,"-$34,273.79"
12/22/16,iShares Barclay Agency Bond Fund,Purchase,204.000,$112.23,"-$22,894.92"
12/22/16,iShares iBoxx High Yield Corporate Bd,Sale,-410.000,$86.30,"$35,382.29"
12/22/16,iShares Barclays Intermediate Crdt Bd,Sale,-466.000,$107.66,"$50,168.96"
12/22/16,iShares Barclays 10-20 Year Treas Bd,Purchase,43.000,$131.74,"-$5,664.82"
12/22/16,iShares Rate Hedged Hi Yld,Purchase,127.000,$90.06,"-$11,437.62"
12/22/16,iShares 0-5 Year High Yield Corp ETF,Purchase,242.000,$47.19,"-$11,419.98"
12/28/16,BlackRock Liquidity T-Fund Mgmt,Sale,-139.880,$1.00,$139.88
12/29/16,iShares iBoxx High Yield Corporate Bd,Dividend,,,$154.79
12/29/16,iShares Barclays Intermediate Crdt Bd,Dividend,,,$748.63
12/29/16,iShares Barclays 10-20 Year Treas Bd,Dividend,,,$26.97
12/30/16,BlackRock Liquidity T-Fund Mgmt,Purchase,930.390,$1.00,-$930.39
12/30/16,BlackRock Liquidity T-Fund Mgmt,Dividend,,,$0.14
