Date,Security Name,Transaction Type,Shares,Transaction Price,Amount
01/04/17,BlackRock Liquidity T-Fund Mgmt,Purchase,0.020,$1.00,-$0.02
01/04/17,iShares Rate Hedged Hi Yld,Dividend,,,$6.56
01/05/17,BlackRock Liquidity T-Fund Mgmt,Purchase,6.560,$1.00,-$6.56
01/09/17,Cash,Advisory Fee,,,-$80.02
01/10/17,BlackRock Liquidity T-Fund Mgmt,Sale,-80.020,$1.00,$80.02
02/07/17,iShares Barclays 7-10 Year Treasury,Dividend,,,$7.17
02/07/17,iShares Barclay Agency Bond Fund,Dividend,,,$3.70
02/07/17,iShares iBoxx High Yield Corporate Bd,Dividend,,,$6.88
02/07/17,iShares Barclays Intermediate Crdt Bd,Dividend,,,$97.26
02/07/17,iShares Barclays Intermediate Crdt Bd,Purchase,9.000,$108.91,-$980.20
02/07/17,iShares Barclays 10-20 Year Treas Bd,Dividend,,,$4.79
02/07/17,iShares Rate Hedged Hi Yld,Purchase,1.000,$90.37,-$90.37
02/07/17,iShares 0-5 Year High Yield Corp ETF,Dividend,,,$7.61
02/08/17,BlackRock Liquidity T-Fund Mgmt,Purchase,127.410,$1.00,-$127.41
02/08/17,iShares Rate Hedged Hi Yld,Dividend,,,$4.69
02/09/17,BlackRock Liquidity T-Fund Mgmt,Purchase,4.690,$1.00,-$4.69
02/10/17,BlackRock Liquidity T-Fund Mgmt,Sale,"-1,070.570",$1.00,"$1,070.57"
03/07/17,iShares Barclays 7-10 Year Treasury,Dividend,,,$6.52
Date,Security Name,Transaction Type,Shares,Transaction Price,Amount
03/07/17,iShares Barclay Agency Bond Fund,Dividend,,,$3.83
03/07/17,iShares iBoxx High Yield Corporate Bd,Dividend,,,$6.91
03/07/17,iShares Barclays Intermediate Crdt Bd,Dividend,,,$102.75
03/07/17,iShares Barclays 10-20 Year Treas Bd,Dividend,,,$4.34
03/07/17,iShares 0-5 Year High Yield Corp ETF,Dividend,,,$7.56
03/08/17,BlackRock Liquidity T-Fund Mgmt,Purchase,131.910,$1.00,-$131.91
03/08/17,iShares Rate Hedged Hi Yld,Dividend,,,$5.97
03/09/17,BlackRock Liquidity T-Fund Mgmt,Purchase,5.970,$1.00,-$5.97
03/24/17,iShares Barclays 7-10 Year Treasury,Sale,-45.000,$105.51,"$4,747.63"
03/24/17,iShares Barclays 1-3 Yr Trs Bond,Purchase,30.000,$84.50,"-$2,535.00"
03/24/17,iShares Barclay Agency Bond Fund,Purchase,28.000,$113.31,"-$3,172.68"
03/24/17,iShares iBoxx High Yield Corporate Bd,Sale,-18.000,$86.70,"$1,560.58"
03/24/17,iShares Barclays Intermediate Crdt Bd,Sale,-30.000,$108.80,"$3,263.95"
03/24/17,iShares Barclays 10-20 Year Treas Bd,Sale,-24.000,$134.24,"$3,221.69"
03/24/17,iShares Barclays 3-7 Year Treasury Bond,Purchase,31.000,$122.92,"-$3,810.52"
03/24/17,iShares Rate Hedged Hi Yld,Sale,-18.000,$89.89,"$1,617.99"
03/24/17,iShares 0-5 Year High Yield Corp ETF,Sale,-33.000,$47.30,"$1,560.87"
03/24/17,PowerShares Senior Loan Port,Purchase,276.000,$23.18,"-$6,397.68"
03/29/17,BlackRock Liquidity T-Fund Mgmt,Purchase,56.830,$1.00,-$56.83
03/31/17,BlackRock Liquidity T-Fund Mgmt,Dividend,,,$0.05
